DATE,EMRATIO,GovDebt%,Pers_Sav%,Trade_Bal(com)%,Inf%,GINI_INDEX,C_Sent(IND),DispIncCHAINED,C_Accounts%GDP,PCE(IND),NonFarmEmp%,LF_Part%,unemp%,LifeExp,USDJPY,M2chained,HOUST%,Age_Dep%,Cap_Ex%,PPI(IND),Ind Prod%,M2V_prop,Gov Def%,CO2,Corp_prof%,GPDI%,IR%,GovC+I,GDP
1993-01-01,61.7083333333333333,1.48328,7.8333333333333333,36.76541,2.95165696638559,40.4,82.7916666666666667,7698.9166666666666667,-1.23286175000000000000,33.49713,1.96911,66.3000000000000000,6.9083333333333333,75.419512195122,111.0754761904761905,2380.8916666666666667,7.50503,18.9112477757678,6.58256,118.9083333333333333,3.28591,1.9940000000000000,-31.19912,5165.350744,6.65607,9.26147,3.0213424657534247,2565.4857500000000000,10684.1787500000000000
1994-01-01,62.5250000000000000,3.01857,6.8000000000000000,30.33625,2.60744159215457,40.0,92.2666666666666667,7908.4916666666666667,-1.6654160000000000,35.52092,3.11084,66.5750000000000000,6.1000000000000000,75.619512195122,102.1789641434262948,2350.1833333333333333,11.95561,19.0144698267264,7.90906,120.4500000000000000,5.26629,2.0922500000000000,-16.53788,5240.403217,22.77073,13.52146,4.2063287671232877,2567.6562500000000000,11114.6462500000000000
1995-01-01,62.8833333333333333,9.81361,6.8500000000000000,5.42665,2.80541968853654,39.9,92.2416666666666667,8169.3333333333333333,-1.4890807500000000,37.33905,2.64405,66.6250000000000000,5.5916666666666667,75.6219512195122,93.9649402390438247,2333.1833333333333333,-5.87828,19.1057036620804,7.20505,124.7583333333333333,4.63499,2.1487500000000000,-23.19131,5305.258704,14.35580,4.85519,5.8343013698630137,2580.7670000000000000,11413.0122500000000000
1996-01-01,63.1750000000000000,2.17469,6.3416666666666667,7.18635,2.93120419993445,40.3,93.6083333333333333,8423.2916666666666667,-1.5442292500000000,39.46085,2.05192,66.7666666666666667,5.4083333333333333,76.0268292682927,108.7800000000000000,2377.1833333333333333,7.91085,19.0940260266574,7.98061,127.6833333333333333,4.54488,2.1647500000000000,-23.37924,5503.136893,8.00930,8.69574,5.3004644808743169,2604.7047500000000000,11843.5990000000000000
1997-01-01,63.7750000000000000,1.55894,6.0416666666666667,6.05653,2.33768993730738,40.5,103.2166666666666667,8723.7666666666666667,-1.6391267500000000,41.65926,2.59627,67.1083333333333333,4.9416666666666667,76.4292682926829,121.0581274900398406,2445.4166666666666667,0.40286,19.0073819679811,7.55655,127.6000000000000000,7.18818,2.1850000000000000,-97.54568,5576.384129,9.38956,11.42036,5.4615068493150685,2647.4145000000000000,12370.2995000000000000
1998-01-01,64.0750000000000000,-0.00848,6.4750000000000000,27.27479,1.55227909874361,40.0,104.6166666666666667,9238.1166666666666667,-2.3688472500000001,44.22097,2.60812,67.0833333333333333,4.5000000000000000,76.5804878048781,130.9891666666666667,2580.2750000000000000,9.94066,18.8956615325535,8.94915,124.4333333333333333,5.88215,2.1550000000000000,-2093.80759,5612.864254,-10.00859,8.84122,5.3509315068493151,2711.6382500000000000,12924.875750000000
1999-01-01,64.2666666666666667,-3.66148,4.6083333333333333,43.11518,2.18802719697358,40.0,105.8250000000000000,9537.3583333333333333,-2.9707840000000001,47.27957,2.45178,67.0833333333333333,4.2166666666666667,76.5829268292683,113.7342460317460317,2711.5333333333333333,1.60892,18.7598150298028,8.81372,125.4750000000000000,4.37139,2.1317500000000000,195.8737,5676.250234,7.00535,8.65956,4.9723561643835616,2800.1650000000000000,13543.774000000000
2000-01-01,64.4083333333333333,0.43855,4.2916666666666667,32.62667,3.37685727149929,40.1,107.5750000000000000,10003.6500000000000000,-3.9190707500000001,50.91684,2.15851,67.0666666666666667,3.9666666666666667,76.6365853658537,107.8040476190476190,2781.7083333333333333,-4.48728,18.5906938495146,8.11002,132.7416666666666667,3.87734,2.1400000000000000,58.46142,5864.979041,-3.04251,8.02036,6.2374316939890710,2851.1652500000000000,14096.033000000000
2001-01-01,63.6666666666666667,-6.36159,4.6750000000000000,-5.55007,2.82617111885407,40.6,89.2416666666666667,10297.3583333333333333,-3.7258545000000000,53.22385,0.04520,66.8333333333333333,4.7416666666666667,76.8365853658537,121.5680400000000000,2939.0333333333333333,1.76907,18.5145589356825,0.51819,134.1916666666666667,-3.03201,2.0345000000000000,-62.16917,5755.491594,-1.01329,-5.08075,3.8783561643835616,2958.6615000000000000,14230.726000000000
2002-01-01,62.7333333333333333,-9.04346,5.5750000000000000,13.68369,1.58603162650601,40.4,89.5833333333333333,10614.5333333333333333,-4.1711790000000001,55.29417,-1.09310,66.5833333333333333,5.7833333333333333,76.9365853658537,125.2204382470119522,3108.3500000000000000,6.81274,18.4572281245689,-1.29517,131.1166666666666667,0.32500,1.9552500000000000,-340.27016,5793.81817,18.05549,-0.22866,1.6667945205479452,3090.5145000000000000,14472.711500000000
2003-01-01,62.2666666666666667,-3.17007,5.1916666666666667,13.68636,2.27009497336115,40.8,87.6250000000000000,10884.391666666667,-4.5624612499999998,58.24211,-0.23533,66.2416666666666667,5.9916666666666667,77.0365853658537,115.9386852589641434,3250.6583333333333333,8.39059,18.3995136642133,5.22761,138.1250000000000000,1.29506,1.9152500000000000,72.68306,5865.240171,20.21339,5.00608,1.1264931506849315,3153.8860000000000000,14877.312500000000
2004-01-01,62.3500000000000000,4.90238,4.6500000000000000,23.00714,2.67723669309172,40.3,95.2000000000000000,11233.175000000000,-5.1973320000000000,61.93807,1.09603,65.9833333333333333,5.5416666666666667,77.4878048780488,108.1508300395256917,3317.1333333333333333,5.16521,18.3982797829746,9.1316,146.6750000000000000,2.67267,1.9492500000000000,0.25975,5963.808672,30.02247,12.54025,1.3503278688524590,3202.1960000000000000,15449.757250000000
